transaction_id,timestamp,amount,currency,origin,destination,is_foreign,suspicious_flag
TX_Bank_A_00000,2025-10-25 04:01:38.059524,312.65,EUR,CUST_9584,BENEF_7363,1,0
TX_Bank_A_00001,2025-12-31 04:01:38.059540,120.61,EUR,CUST_2217,BENEF_5194,1,0
TX_Bank_A_00002,2026-01-11 04:01:38.059545,392.11,EUR,CUST_1794,BENEF_6876,0,0
TX_Bank_A_00003,2025-12-10 04:01:38.059547,1457.6,USD,CUST_7756,BENEF_7713,1,0
TX_Bank_A_00004,2025-12-14 04:01:38.059548,104.46,USD,CUST_4791,BENEF_7807,0,0
TX_Bank_A_00005,2025-12-17 04:01:38.059550,104.46,EUR,CUST_3474,BENEF_6984,0,0
TX_Bank_A_00006,2025-12-28 04:01:38.059551,1585.76,EUR,ENTITY_Z,BENEF_6686,0,1
TX_Bank_A_00007,2026-01-01 04:01:38.059552,469.26,EUR,CUST_1990,BENEF_9418,0,0
TX_Bank_A_00008,2025-10-20 04:01:38.059553,73.39,USD,CUST_8916,BENEF_5442,0,0
TX_Bank_A_00009,2025-11-06 04:01:38.059554,334.9,EUR,CUST_1257,BENEF_7034,0,0
TX_Bank_A_00010,2026-01-03 04:01:38.059556,74.06,EUR,ENTITY_Z,BENEF_6822,0,1
TX_Bank_A_00011,2025-10-31 04:01:38.059557,73.8,USD,CUST_1274,BENEF_9981,0,0
TX_Bank_A_00012,2025-11-21 04:01:38.059558,213.35,EUR,CUST_5501,BENEF_8125,0,0
TX_Bank_A_00013,2026-01-10 04:01:38.059560,8.42,EUR,CUST_5697,BENEF_9271,0,0
TX_Bank_A_00014,2026-01-11 04:01:38.059561,11.16,EUR,ENTITY_Z,BENEF_7634,0,1
TX_Bank_A_00015,2026-01-03 04:01:38.059562,63.85,GBP,CUST_3937,BENEF_6503,1,0
TX_Bank_A_00016,2025-12-18 04:01:38.059563,32.48,USD,CUST_2578,BENEF_8623,1,0
TX_Bank_A_00017,2025-12-16 04:01:38.059564,237.79,USD,CUST_4948,BENEF_5049,0,0
TX_Bank_A_00018,2025-11-11 04:01:38.059565,38.01,EUR,CUST_9625,BENEF_5529,0,0
TX_Bank_A_00019,2025-10-29 04:01:38.059567,17.84,EUR,CUST_6807,BENEF_9027,0,0
TX_Bank_A_00020,2026-01-11 04:01:38.059568,1337.39,GBP,CUST_7502,BENEF_5573,1,0
TX_Bank_A_00021,2025-11-04 04:01:38.059569,105.78,GBP,CUST_7652,BENEF_6576,0,0
TX_Bank_A_00022,2025-12-20 04:01:38.059570,164.23,EUR,CUST_4984,BENEF_5426,0,0
TX_Bank_A_00023,2025-10-23 04:01:38.059571,17.51,USD,CUST_4700,BENEF_6159,0,0
TX_Bank_A_00024,2025-10-17 04:01:38.059572,65.59,EUR,CUST_2320,BENEF_6672,0,0
TX_Bank_A_00025,2025-11-06 04:01:38.059573,175.28,EUR,CUST_1519,BENEF_6028,0,0
TX_Bank_A_00026,2025-11-22 04:01:38.059575,26.4,USD,CUST_7213,BENEF_5751,1,0
