transaction_id,timestamp,amount,currency,origin,destination,is_foreign,suspicious_flag
TX_Bank_B_00000,2025-11-24 04:01:38.104962,119.88,USD,CUST_8697,BENEF_6416,1,0
TX_Bank_B_00001,2025-11-27 04:01:38.104987,3248.12,EUR,CUST_7813,BENEF_5109,0,0
TX_Bank_B_00002,2025-12-20 04:01:38.104991,226.99,EUR,CUST_4298,BENEF_6785,0,0
TX_Bank_B_00003,2025-10-30 04:01:38.104994,1090.86,USD,CUST_8426,BENEF_9602,0,0
TX_Bank_B_00004,2025-12-23 04:01:38.104996,117.69,USD,CUST_8780,BENEF_5165,1,0
TX_Bank_B_00005,2025-12-16 04:01:38.104999,133.81,EUR,CUST_1921,BENEF_7031,0,0
TX_Bank_B_00006,2025-12-14 04:01:38.105002,460.71,EUR,CUST_5878,BENEF_9422,0,0
TX_Bank_B_00007,2025-12-28 04:01:38.105004,512.07,EUR,CUST_6707,BENEF_5669,1,0
TX_Bank_B_00008,2026-01-03 04:01:38.105007,125.26,EUR,CUST_2106,BENEF_7181,0,0
TX_Bank_B_00009,2025-12-13 04:01:38.105010,4.26,EUR,CUST_7473,BENEF_8132,0,0
TX_Bank_B_00010,2025-11-26 04:01:38.105013,115.52,GBP,CUST_3894,BENEF_7330,1,0
TX_Bank_B_00011,2025-11-08 04:01:38.105016,414.92,EUR,CUST_4480,BENEF_5450,0,0
TX_Bank_B_00012,2025-10-19 04:01:38.105018,153.74,USD,CUST_1808,BENEF_6525,1,0
TX_Bank_B_00013,2025-10-17 04:01:38.105021,294.21,EUR,CUST_8203,BENEF_5039,0,0
TX_Bank_B_00014,2025-11-07 04:01:38.105023,222.68,USD,CUST_1118,BENEF_7051,1,0
TX_Bank_B_00015,2026-01-03 04:01:38.105026,17.24,GBP,CUST_2227,BENEF_8375,0,0
TX_Bank_B_00016,2025-10-27 04:01:38.105028,557.93,GBP,CUST_3617,BENEF_9349,0,0
TX_Bank_B_00017,2025-11-13 04:01:38.105031,62.17,EUR,CUST_8394,BENEF_5374,0,0
TX_Bank_B_00018,2025-12-20 04:01:38.105034,69.94,EUR,CUST_2071,BENEF_9248,0,0
TX_Bank_B_00019,2025-11-22 04:01:38.105036,360.12,EUR,CUST_5600,BENEF_8449,1,0
TX_Bank_B_00020,2025-10-28 04:01:38.105039,49.53,GBP,CUST_3866,BENEF_5143,1,0
TX_Bank_B_00021,2025-10-31 04:01:38.105041,219.78,USD,CUST_9564,BENEF_9264,0,0
TX_Bank_B_00022,2025-12-18 04:01:38.105044,41.11,EUR,CUST_8263,BENEF_9125,1,0
TX_Bank_B_00023,2025-11-28 04:01:38.105046,112.02,EUR,CUST_3442,BENEF_7629,0,0
TX_Bank_B_00024,2025-11-26 04:01:38.105049,84.76,EUR,CUST_4281,BENEF_6797,0,0
TX_Bank_B_00025,2025-10-19 04:01:38.105052,74.22,EUR,CUST_5959,BENEF_6293,0,0
TX_Bank_B_00026,2025-12-18 04:01:38.105055,43.61,USD,CUST_5326,BENEF_9899,1,0
TX_Bank_B_00027,2025-12-26 04:01:38.105057,138.7,EUR,CUST_1847,BENEF_9318,0,0
TX_Bank_B_00028,2025-11-16 04:01:38.105060,178.04,EUR,CUST_5321,BENEF_7054,0,0
TX_Bank_B_00029,2025-10-22 04:01:38.105062,595.22,USD,CUST_7835,BENEF_7323,1,0
